Time Steps,Interpolated Volumes
0.53823086,84.16
0.5406553233333333,83.69
0.5430797866666666,83.22
0.5455042499999999,82.75
0.5479287133333333,82.27
0.5503531766666666,81.79
0.55277764,81.31
0.5552021033333333,80.83
0.5576265666666667,80.35
0.56005103,77.59
0.5624754933333332,79.39
0.5648999566666666,78.9
0.5673244199999999,78.42
0.5697488833333333,77.94
0.5721733466666666,77.45
0.57459781,76.97
0.5770222733333333,76.48
0.5794467366666666,75.99
0.5818711999999999,75.5
0.5842956633333333,75.02
0.5867201266666666,74.53
0.58914459,74.04
0.5915690533333333,73.55
0.5939935166666667,73.05
0.5964179799999999,72.56
0.5988424433333333,72.07
0.6012669066666666,71.58
0.60369137,71.1
0.6061158333333333,70.63
0.6085402966666666,70.16
0.61096476,67.42
0.6133892233333332,69.24
