Time Steps,Interpolated Volumes
0.23644917647058825,59.66
0.23854164705882352,59.75
0.24063411764705883,59.84
0.2427265882352941,59.93
0.24481905882352942,60.02
0.24691152941176472,60.11
0.249004,60.2
0.2510964705882353,60.31
0.2531889411764706,60.42
0.25528141176470587,60.53
0.2573738823529412,60.65
0.2594663529411765,60.78
0.2615588235294118,60.92
0.26365129411764704,61.28
0.26574376470588235,61.2
0.26783623529411765,61.36
0.26992870588235296,61.52
0.27202117647058827,61.68
0.2741136470588235,61.86
0.2762061176470588,62.04
0.27829858823529413,62.22
0.28039105882352944,62.41
0.2824835294117647,62.61
0.284576,62.82
0.2866684705882353,63.03
0.2887609411764706,63.25
0.2908534117647059,63.47
0.29294588235294117,63.69
0.2950383529411765,63.91
0.2971308235294118,64.12
0.2992232941176471,64.34
0.30131576470588234,64.55
0.30340823529411765,64.77
0.30550070588235295,64.98
0.30759317647058826,65.56
0.3096856470588235,65.4
0.3117781176470588,65.61
0.3138705882352941,65.82
0.31596305882352943,66.03
0.31805552941176474,66.23
0.320148,66.44
0.3222404705882353,66.64
0.3243329411764706,66.84
0.3264254117647059,67.04
0.32851788235294116,67.24
0.33061035294117647,67.44
0.3327028235294118,67.64
0.3347952941176471,67.83
0.3368877647058824,68.02
0.33898023529411764,68.2
0.34107270588235294,68.37
0.34316517647058825,68.53
0.34525764705882356,68.68
0.3473501176470588,68.82
0.3494425882352941,68.95
0.3515350588235294,69.3
0.35362752941176473,69.19
0.35572,69.3
0.3578124705882353,69.4
0.3599049411764706,69.49
0.3619974117647059,69.57
0.3640898823529412,69.64
0.36618235294117646,69.7
0.36827482352941177,69.75
0.3703672941176471,69.8
0.3724597647058824,69.83
0.37455223529411763,69.86
0.37664470588235294,69.88
0.37873717647058824,69.89
0.38082964705882355,69.9
0.38292211764705886,69.92
0.3850145882352941,69.95
0.3871070588235294,69.99
0.3891995294117647,70.03
0.39129200000000003,70.08
0.3933844705882353,70.13
0.3954769411764706,70.36
0.3975694117647059,70.26
0.3996618823529412,70.34
0.40175435294117645,70.42
0.40384682352941176,70.51
0.40593929411764706,70.61
0.40803176470588237,70.71
0.4101242352941177,70.82
0.41221670588235293,70.94
0.41430917647058824,71.07
0.41640164705882354,71.2
0.41849411764705885,71.33
0.4205865882352941,71.48
0.4226790588235294,71.63
0.4247715294117647,71.76
0.426864,71.85
0.42895647058823533,71.9
0.4310489411764706,71.92
0.4331414117647059,71.89
0.4352338823529412,71.83
0.4373263529411765,71.72
0.43941882352941175,71.05
0.44151129411764706,71.4
0.44360376470588236,71.18
0.44569623529411767,70.92
0.447788705882353,70.62
0.44988117647058823,70.28
0.45197364705882354,69.9
0.45406611764705884,69.48
